SV,SVI1,SVI2,SVI3,SVI4
0.0115,0.015083,0.023413,0.015083,0.023413
0.0133,0.000225,0.001126,0.000225,0.001126
0.0153,0.001576,0.001126,0.001576,0.001126
0.0176,0.002026,0.003827,0.002026,0.003827
0.0202,0.002251,0.004052,0.002251,0.004052
0.0233,0.001576,0.002476,0.001576,0.002476
0.0268,0.002026,0.003827,0.002026,0.003827
0.0309,0.001351,0.004728,0.001351,0.004728
0.0356,0.001801,0.004953,0.001801,0.004953
0.0409,0.002026,0.004953,0.002026,0.004953
0.0471,0.004502,0.004502,0.004502,0.004502
0.0543,0.003152,0.006754,0.003152,0.006754
0.0625,0.003827,0.006303,0.003827,0.006303
0.072,0.004728,0.005628,0.004728,0.005628
0.0829,0.005178,0.003602,0.005178,0.003602
0.0954,0.010581,0.006303,0.010581,0.006303
0.1099,0.015984,0.005628,0.015984,0.005628
0.1265,0.022963,0.00878,0.022963,0.00878
0.1456,0.044124,0.014183,0.044124,0.014183
0.1677,0.070464,0.014408,0.070464,0.014408
0.1931,0.112787,0.026339,0.112787,0.026339
0.2223,0.157362,0.032868,0.157362,0.032868
0.256,0.178073,0.060783,0.178073,0.060783
0.2947,0.160513,0.088249,0.160513,0.088249
0.3393,0.096353,0.105358,0.096353,0.105358
0.3907,0.047501,0.115714,0.047501,0.115714
0.4498,0.013958,0.112337,0.013958,0.112337
0.5179,0.006754,0.08172,0.006754,0.08172
0.5964,0.002927,0.055155,0.002927,0.055155
0.6866,0.004052,0.032418,0.004052,0.032418
0.7906,0.00045,0.015308,0.00045,0.015308
0.9103,0.00045,0.011256,0.00045,0.011256
1.0481,0.000675,0.003827,0.000675,0.003827
1.2068,0.000675,0.002927,0.000675,0.002927
1.3895,0.000225,0.001801,0.000225,0.001801
1.5999,0.00045,0.001576,0.00045,0.001576
1.8421,0.000225,0.0009,0.000225,0.0009
2.121,0.000225,0.000225,0.000225,0.000225
2.4421,0.000225,0.000675,0.000225,0.000675
2.8118,0,0.001126,0,0.001126
3.2375,0,0.00045,0,0.00045
3.7276,0,0.000225,0,0.000225
4.2919,0,0,0,0
4.9417,0,0,0,0
5.6899,0,0.000225,0,0.000225
6.5513,0,0.000225,0,0.000225
7.5431,0,0,0,0
8.6851,0,0.000225,0,0.000225
10,0.000675,0.004728,0.000675,0.004728
